English,Portuguese
A comfy chair to rest in.,
Sometimes you just want to bring a little bit of nature into your house.,
"Drill, baby! Drill!",
An icebox from the future with significantly better cooling properties.,
A basic table for researching new technologies and skills.,
For rolling steel into more buildable materials.,
A large area rug to cover that weird stain.,
A medium rug for medium uses.,
A small rug for when you just didn't have enough materials to make a bigger one.,
A basket of salt.,
Used to saw wood into lumber.,
When a shelf and a cabinet aren't enough individually.,
Designates a 5x5x5 area as storage for large items.,
A stone stand which can hold burning fuel to provide light.,
PLACEHOLDER,
A container you can store items in.,
Allows the selling and trading of items.,
A heavy stove for cooking more complex dishes.,
A towering metal light post that requires electricity to run.,
A candle which can burn tallow to produce a small amount of light.,
A pottery lamp. Fuel with tallow.,
A candle mounted on a wall bracket which can burn tallow to produce a small amount of light.,
A stand for a torch.,
Allows the setting of taxes.,
A set of smoothing and woodworking tools that assist in creating wheels and transportation.,
A wall mounted candle.,
Sometimes it can be nice to have clean clothes.,
Why hand scrub your clothes on a washboard when you could throw them into this magical cleaning machine?,
A much more comfortable bed made with fabric.,
"A nice, scratchy and horrible uncomfortable bed. But at least it keeps you off the ground.",
A large sign for all your large text needs!,
A bench for the basics and making even more benches.,
Oil Amount,
Error or otherwise informative message goes here.,
Eco,
Mine,
Place,
Pick Up,
Rotate\n,
Hidden,
{0:name} has logged in to this world for the first time!,
Grass,
Hare,
Elk,
Wolf,Lobo
Creosote Bush,
Prickly Pear,
Bison,
Turkey,
Fox,Raposa
Otter,
Salal,
Amanita Mushroom,
Crimini Mushroom,
Saguaro Cactus,
Tortoise,
species,espécies
item,
benefit,
recipe,
Loading objects,
Loading items...,
Loading objects...,
Entering world...,
Loading,Carregar
Thanks for supporting ECO!,
AWOOOOOOOOO,
[Select on toolbar and right-click to place.],
Repair requires {0},
English,
That item is not the right type of clothing,
{0} Calories,
"No nutrients, {0}",
Not enough room in inventory,
Can't modify an item stack quantity to below zero,
{0:skill} is required to craft this.,
A {0:room module} is needed to craft {1:item},
{0:skill scroll} created. Read to gain skill or share with other players.,{0:skill scroll} criado. Leia para ganhar habilidade ou compartilhar com outros jogadores.
{0:username} discovered {1:skill}!,
Done.,
Loading world,
Chop,
Smite,
Reap,
Dig,
"Displays government activity, such as laws and elections, and provides links to the server's web page.",
Your currently carried items.,
Opens the world graphs.,
"Opens the objectives panel, showing the stated objectives and other activities of citizens.","Abre o painel de objectivos, mostrando os objectivos declarados e outras actividades dos cidadãos."
Store Credit,
A multiplier applied to the cost of learning a specialty.,
Whether or not a meteor exists in the world.,
Time in days when the meteor will impact.,
"Whether to use a whitelist to choose which mods to load.  If disabled, all mods will be loaded.",
"If the WhitelistEnabled setting is turned on, the whitelist of mods to load, by .dll file name",
Check for unity file updates regularly. (Useful if you are actively building mod bundles and don't want to restart the server to test changes.),
Whether or not to post this server to Strange Loop Games public server listings.,
"If not empty, require this password to connect to the server, unless the connecting user is on the whitelist.",
The description of this server.,
Port for game traffic.,
Port for web traffic.,
"Rate at which the server sends updates to clients, per second.  (1 - 60)",
"If set, rooms can have empty blocks serve as windows and still count as a room.",
Game progress time advances at this rate.,
Base skill rate gain.,
Scales skill penalty due to suffocation. (0 to disable),
Number of layer images/day to store in save file. (Default: 4),
"Scales how time of day matches real time.  Higher numbers result in shorter day/night cycles, but will not affect simulation speed.",
"How often to write changed data to disk, in seconds.",
"If true, removes failed to load objects upon loading.",
Whether or not to validate users with the accounts server.,
"Allows debug calls to be made to the webserver, like 'GenerateTestData'.",
Users on the whitelist do not need to enter a password to connect to a passworded server.  Use either SLG ID or STEAMID64,
Blacklisted users are denied connection to the server.  Use either SLG ID or STEAMID64,
"Admins are allowed to use the chat commands. (/ban, /give, etc.)  Use either SLG ID or STEAMID64",
Spawn location,Localização de Spawn
The titles players are given for each reputation level.,
Time between World Object Ticks in milliseconds. (0 for variable),
Tick World Objects in parallel,
World generation seed.,
Chunk dimensions of the world along X-Z.,
Sea level height.,
Maximum height of the world when generating terrain.,
Defines the world module for world generation.,
Default atmosphere object type for the world.,
Max % of one CPU to use for ticking world chunks. (25% - 100%),
Decorative plants are not simulated after being spawned,
Lives under water,
"After harvesting, we reset their growth percent to this value, 0 -1.  0 means kill the plant.",
"If this gets scythed, does it die?",
"If I can pick this, at what percent is that possible?",
The exponential rate parameter describing the birth rate of the species in ideal growth conditions and no competition.  The % of the population in the area that will reproduce in one tick.,
The exponential rate parameter describing the death rate of the species in ideal growth conditions and no competition.  The % of the population in the area that will die in one tick.  Should always be LESS than MaxGrowthRate.,
The exponential rate parameter describing the rate at which the plant spreads to adjacent locations.,
Consumable resources that limit growth.,
Environment capacities that limit growth.,
The plant's preferred temperature range.  Temperatures in this range won't inhibit population growth or reduce yield.,
The plant's preferred moisture range.  Moisture in this range won't inhibit population growth or reduce yield.,
The temperature range that can support this plant (albeit at reduced efficiency if the temperature is not also within the ideal range).  Temperatures outside this range prohibit reproduction entirely and prevent any yield at all.,
"The maximum ground pollution density that the plant can tolerate.  Above this value, the plant cannot reproduce, and will have zero yield.",
The voxelsPerEntry that this species should be tracked at.,
"The string which is used as an identifier for this species. Cannot be edited freely, as it is referenced by other config.",
The displayed name of this species. Can be edited freely.,
Maturity age in days.  Organisms older than this value are considered fully grown and can reproduce.,
"List of ranges where the corresponding branches begin to grow, as well as the rate of their growth",
"If true, spawned trees will be rotated at a random angle.",
The number of branches this tree will have.,
Economy,
Rooms,
Initializing...,
Running...,
Localizer,
Network,
Storage,
World,
Time,Tempo
Reputation,Reputação
Housing,
Users,
Property Manager,
Disasters,
Minimap,
Chat,
Controller,
Simulation,
Route Probing,
Economy Tracker,
World Objects,
Plugins,
ModKit,
Stats,
WorldGenerator,
Objects,
Backup,
Difficulty Settings,
WebServer,
Average tick: {0:n1}ms,
Mods are Running,
{0:n0} objects; Average tick: {1:n1}ms,
Controllers: {0:n0} Changes/s: {1:n1} Average update: {2:n1}ms Last clean: {3:n1}ms,
{0} users,
Output wires: {0},
Danger lurks in the skies above...,
"{0:n0} trades, {1:n0} contracts, {2:n0} tables",
Current Language: {0},
Total rep points given: {0},
Last save time: {0:n1}ms,
Display,
Config,
\n - Next save in: {2:n1}s; {3},
Dump,Descarga
"{0:n0} Walkable Blocks, {1} Large Regions",
World Layers Simulation,
Total size:      {0:n1}kb,
Total ticks:     {0},
State: {0},
Last tick: {0:n1}ms,
Max world tick: {0:n1}ms,
Average world tick: {0:n1}ms,
Total chunks: {0:n0},
Active chunks: {0:n0} [{1:0.00}%],
Frozen chunks: {0:n0} [{1:0.00}%],
Total chunk packs: {0:n0},
Dirty chunk packs: {0:n0} [{1:0.00}%],
{0} Block types,
Average tick: {0:n1}ms    Last tick: {1:n1}ms    Combined Times: {2:n1},
"The currently selected language. If you change languages, you'll need to restart the server for changes to fully take effect.","O idioma atualmente selecionado. Se você alterar os idiomas, precisará reiniciar o servidor para que as alterações tenham efeito total."
Average {0} {1:n1}ms    Last: {2:n1}ms,
Average {0} {1:n2}ms    Last: {2:n2}ms,
"The world is safe for now, at least from the meteor.",
(Next level: {0}),
{0:verb} {1:benefits description} by {2:skill bonus} {3:next level},
Contract State: {0},
Client: {0},
Contractor: {0},
Contract invalid:\n{0},
Contract time has expired!  Client can mark 'Job Failed' at anytime,
Time remaining: {0},
Width must be greater than zero.,
Reputation relative to {0},
{0} is too low: {1} but must be {2}.,
"- {0} {1}, soft-cap at {2}.",
"{0} {1}, soft-cap at {2}.",
"After a room's value passes its soft-cap, additional value will diminish exponentially.",
Room Composition,
Material quality: {0},
Room value was soft-capped from {0} to {1} due to materials ({2} reduction),
"Includes natural blocks (caves, mud huts, etc).",
Includes,
{0}{1} free volume in room.,
Compile Error,
Total size:      {0:n1}kb\r\n,
Total ticks:     {0}\r\n,
Failed to start.,
Finished world generation in {0:n1}ms,
Terrain,Terreno
Special,Especial
Actions,Ações
Encasement,Revestir
Freeze,Congela
Total blocks: {0:n0},
Could not start server: {0},
A save named '{0}' already exists,
Blocked by object.,
Not enough items carried to place.,
Click a stockpile or vehicle to pick up materials.,
Click to begin building a wall.,
Click to build a {0} x {1} x {2} wall ({3} blocks).,
Landscape blocking placement.,
Must attach to ground.,
Owned by,
{0} Color,
"Can't start single player.\nHosting a single player Eco server requires a 64-bit system, and you are currently running 32-bits.",
Put {0},
Take,
Use,
Previous,
OK,
Time Zone: {0},
{0} selected.,
Forgive,
How much of this debt do you want to forgive? Up to {0}.,
Submit,Submeter
Pay,Pagar
PAST DUE,
NO MORE WANTED,
SOLD OUT,
{0}w ({1}w when operating),
~ {0} remaining,
No Fuel,
{0}w ({1} when operating),
Invalid ip address,
Please enter a name for the service.,
Please enter a URI for the service.,
The URI you entered is not a valid URI.,
New Beginnings,
Learn to play in a new world with other beginners.,
Cities Upon a Hill,
Worlds with established cities welcoming new citizens.,
Brave Frontiers,
Experienced citizens in highly-collaborative worlds.,
Strange Worlds,
Modded worlds exploring unique experiences.,
Active Hours in {0}: {1} match,
Yes,Sim
day,dia
Join,
Offline,
"This is a test server containing the next release of the game, which will be kept stable (so you can play normally here long-term).\n\nTo play here, you will need to switch to the staging build.",
"In Steam, right click Eco and select 'Properties'.  On the Beta tab, opt-in and select the build called 'Staging'.",
This server is running a different version.  You are running {0} but the server is running {1}.,
"This is a test server containing the next release of the game, which will be kept stable (so you can play normally here long-term).",
"To switch to the staging build, in Steam, right click Eco and select 'Properties'.  On the Beta tab, opt-in and select the build called 'Staging'.",
Unlimited,
Open in your browser?,
Whether or not to keep backups.,
How many backups to store for the last hour.,
Name of the save to load at startup.,
\r\n\r\nForce Save All Stats:\r\n{0},
Other,
Everyone,
Admins,
No user provided,
Lasers have been activated! Meteor targeted. {0} seconds to destruction.,
{0} halted. {1},{0} foi interrompida. {1}
None,
Can only place blocks.,
Can't place more blocks than carrying.,
Out of fuel.,
No inventory on that object.,
Cannot pick up the crane while its claw is carrying something.,
Cannot trade: No currency is set.,
Exchange invalid: Both currencies are the same.,
Can't make a currency with coins per item less or equal to zero.,
Cannot trade: Store is not in a valid state. Check the status tab for more details.,
The meteor has been destroyed!  You are victorious!,
(Max level),
This currency uses {0} to produce {1} {2} per {3},
{0} Report,
Total in circulation: {0},
Total debt in currency: {0},
Balances:,
Debts:,
{0} owes you {1},
You owe {0} to {1}.,
{0} owes {1} to {2},
Due in {0},
Overdue.,
Debt created.,
{0}'s debt was cancelled.,
Can't find a currency containing {0}.,
User {0} can't be found.,
Debt must be greater than zero.,
Build a road between {0} and {1} from {2} of width {3}.,
"Upon completion, receive {0}{1}",
"Payments collected into escrow: {0} from {1}, {2} deposit from {3}.",
{0} payment refund to {1}.,
{0} payment refund and {1} given to {2}.,
Couldn't find deed for object {0}.,
Name,
<undefined material>,<material Indefinido>
Add,Adicionar
<undefined>,<indefinido>
Can't have a negative deposit.,
Can't have a negative payment.,
Couldn't find {0} to harvest on that property.,
{0} borrowed {1} from {2}.,
"{0} has only {1}, needs {2} to satisfy contract.",
Amount must be from {0}.,
{0} holds no {1}.,
Can't loan 0 currency.,
Currency not set.,
Plow,
Must move {0} from {1} to {2}.  Access rights temporarily granted to containers.,
{0} vs {1} ({2}) for {3},
Exchange Rates:,
trades,trocas
(Calculated by comparing {0}),
trading,
Average,
...or better (see {0}),
Repair cost: {0}\n,
Tool is Broken!\n,
Carrying {0}kg (max {1}kg).\n,
Fuel: {0}J,
skill,
and {0} more.,
Votes:,
Unlocks {0},
{0}: {1} minutes,
Creates {0} that teach {1},
Teaches {0},
Made with a {0},
{0} finished crafting a {1}.,
"Missing currency, failed.",
;,
{0}'s {1},
Stomach is {0},
{0} has contracted DYSENTERY.,
Logged in. Located at {0},
Max reputation that can be given to another player by one person.,
Minimum reputation that can be taken from another player by one person.,
Delay to prevent /unstuck abuse.,
Population: {0} ({1} online).,
Unnamed World Marker,
Unowned,
Click to open settings window,
This plot is already public.,Este lote já é público.
